"filename", "language", "TypeScript", "JSON with Comments", "XML", "Markdown", "Prisma", "JSON", "MS SQL", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\ashis\bytecraft\components\navbar\NavSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 4, 49
"c:\Users\ashis\bytecraft\components\navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\ashis\bytecraft\components\navbar\SignOutLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\ashis\bytecraft\components\navbar\UserIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\ashis\bytecraft\components\products\FavoriteToggleButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\Users\ashis\bytecraft\components\products\FavoriteToggleForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\ashis\bytecraft\components\products\ProductInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 253, 0, 10, 21, 284
"c:\Users\ashis\bytecraft\components\products\ProductsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 10, 11, 151
"c:\Users\ashis\bytecraft\components\products\ProductsGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 9, 15, 203
"c:\Users\ashis\bytecraft\components\products\ProductsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 1, 3, 55
"c:\Users\ashis\bytecraft\components\single-product\AddToCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"c:\Users\ashis\bytecraft\components\single-product\BreadCrumbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"c:\Users\ashis\bytecraft\components\single-product\ProductRating.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\ashis\bytecraft\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 6, 47
"c:\Users\ashis\bytecraft\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 11, 110
"c:\Users\ashis\bytecraft\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"c:\Users\ashis\bytecraft\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 10, 93
"c:\Users\ashis\bytecraft\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 28, 242
"c:\Users\ashis\bytecraft\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\ashis\bytecraft\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 19, 258
"c:\Users\ashis\bytecraft\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\ashis\bytecraft\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\Users\ashis\bytecraft\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\ashis\bytecraft\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 14, 186
"c:\Users\ashis\bytecraft\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\Users\ashis\bytecraft\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\ashis\bytecraft\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
